#separator:comma
#html:false
#deck:法律英単語
#notetype:Basic
#tags column:3
agreement,契約(合意),legal CONTRACT
contract,契約,legal CONTRACT
party,当事者,legal CONTRACT
counterparty,相手方当事者,legal CONTRACT
execution,(契約の)締結・調印,legal CONTRACT
effective date,発効日,legal CONTRACT
term,(契約)期間,legal CONTRACT
termination,解除(終了),legal CONTRACT
expiration,(期間)満了,legal CONTRACT
renewal,更新,legal CONTRACT
breach,違反,legal CONTRACT
default,債務不履行,legal CONTRACT
remedy,救済(手段),legal CONTRACT
damages,損害賠償,legal CONTRACT
indemnification,補償,legal CONTRACT
indemnify,補償する,legal CONTRACT
liability,責任,legal CONTRACT
obligation,義務,legal CONTRACT
covenant,誓約(コベナンツ),legal CONTRACT
representation,表明,legal CONTRACT
warranty,保証,legal CONTRACT
condition,条件,legal CONTRACT
consideration,約因,legal CONTRACT
offer,申込み,legal CONTRACT
acceptance,承諾,legal CONTRACT
assignment,譲渡,legal CONTRACT
novation,更改,legal CONTRACT
amendment,変更(修正),legal CONTRACT
waiver,権利放棄,legal CONTRACT
severability,分離可能性(可分性),legal CONTRACT
entire agreement,完全合意,legal CONTRACT
governing law,準拠法,legal CONTRACT
jurisdiction,裁判管轄,legal CONTRACT
venue,裁判地,legal CONTRACT
arbitration,仲裁,legal CONTRACT
mediation,調停,legal CONTRACT
notice,通知,legal CONTRACT
force majeure,不可抗力,legal CONTRACT
confidentiality,秘密保持,legal CONTRACT
non-disclosure agreement,秘密保持契約(NDA),legal CONTRACT
non-compete,競業避止,legal CONTRACT
non-solicitation,勧誘禁止,legal CONTRACT
good faith,誠実(善意),legal CONTRACT
best efforts,最大限の努力,legal CONTRACT
reasonable efforts,合理的な努力,legal CONTRACT
material breach,重大な違反,legal CONTRACT
cure period,是正期間,legal CONTRACT
termination for cause,事由に基づく解除,legal CONTRACT
termination for convenience,任意解除(便宜解除),legal CONTRACT
survival,(条項の)存続,legal CONTRACT
counterparts,(契約書の)副本,legal CONTRACT
binding,拘束力のある,legal CONTRACT
enforceable,強制可能な(執行可能な),legal CONTRACT
void,無効な,legal CONTRACT
voidable,取消可能な,legal CONTRACT
unenforceable,強制不能な,legal CONTRACT
rescission,契約の取消し(解除),legal CONTRACT
restitution,原状回復,legal CONTRACT
specific performance,特定履行,legal CONTRACT
injunction,差止命令,legal CONTRACT
liquidated damages,損害賠償額の予定,legal CONTRACT
consequential damages,結果損害,legal CONTRACT
incidental damages,付随的損害,legal CONTRACT
punitive damages,懲罰的損害賠償,legal CONTRACT
mitigation,損害軽減,legal CONTRACT
disclaimer,免責(否認),legal CONTRACT
limitation of liability,責任制限,legal CONTRACT
