id,subject,term,meaning_ja,example_en,example_ja,source,status,used_at
1,CONTRACT,agreement,契約(合意),The parties entered into a written agreement.,当事者らは書面による契約を締結した。,,verified,
2,CONTRACT,contract,契約,The contract takes effect on April 1.,その契約は4月1日に発効する。,,verified,
3,CONTRACT,party,当事者,Each party shall bear its own costs.,各当事者は自己の費用を負担する。,,verified,
4,CONTRACT,counterparty,相手方当事者,The counterparty requested an extension.,相手方当事者は期限の延長を求めた。,,verified,
5,CONTRACT,execution,(契約の)締結・調印,Execution of the agreement occurred on Monday.,契約の調印は月曜日に行われた。,,verified,
6,CONTRACT,effective date,発効日,The effective date is January 1.,発効日は1月1日である。,,verified,
7,CONTRACT,term,(契約)期間,The term of this agreement is three years.,本契約の期間は3年である。,,verified,
8,CONTRACT,termination,解除(終了),Termination requires thirty days' notice.,解除には30日前の通知が必要である。,,verified,
9,CONTRACT,expiration,(期間)満了,The license ends upon expiration of the term.,ライセンスは期間満了により終了する。,,verified,
10,CONTRACT,renewal,更新,Renewal requires written agreement of both parties.,更新には両当事者の書面合意が必要である。,,verified,
11,CONTRACT,breach,違反,The delay constituted a breach of the contract.,その遅延は契約違反にあたった。,,verified,
12,CONTRACT,default,債務不履行,The borrower is in default under the agreement.,借主は契約上の債務不履行に陥っている。,,verified,
13,CONTRACT,remedy,救済(手段),The buyer sought a remedy for the breach.,買主は違反に対する救済を求めた。,,verified,
14,CONTRACT,damages,損害賠償,The court awarded damages to the plaintiff.,裁判所は原告に損害賠償を認めた。,,verified,
15,CONTRACT,indemnification,補償,The clause provides for indemnification against claims.,その条項は請求に対する補償を定める。,,verified,
16,CONTRACT,indemnify,補償する,The seller shall indemnify the buyer for losses.,売主は買主の損失を補償する。,,verified,
17,CONTRACT,liability,責任,Liability is limited to the contract price.,責任は契約金額に制限される。,,verified,
18,CONTRACT,obligation,義務,Each party shall perform its obligations.,各当事者はその義務を履行する。,,verified,
19,CONTRACT,covenant,誓約(コベナンツ),The tenant made a covenant to maintain the premises.,賃借人は物件を維持する誓約をした。,,verified,
20,CONTRACT,representation,表明,The seller made a representation about the assets.,売主は資産について表明を行った。,,verified,
21,CONTRACT,warranty,保証,The product carries a one-year warranty.,その製品には1年間の保証が付く。,,verified,
22,CONTRACT,condition,条件,Payment is a condition of delivery.,支払は引渡しの条件である。,,verified,
23,CONTRACT,consideration,約因,The contract is supported by valid consideration.,その契約は有効な約因に裏付けられている。,,verified,
24,CONTRACT,offer,申込み,The offer remained open for ten days.,申込みは10日間有効であった。,,verified,
25,CONTRACT,acceptance,承諾,Acceptance was communicated by email.,承諾は電子メールで伝達された。,,verified,
26,CONTRACT,assignment,譲渡,Assignment of this agreement requires consent.,本契約の譲渡には同意が必要である。,,verified,
27,CONTRACT,novation,更改,The parties replaced the contract by novation.,当事者らは更改により契約を差し替えた。,,verified,
28,CONTRACT,amendment,変更(修正),The amendment must be in writing.,契約の変更は書面によらなければならない。,,verified,
29,CONTRACT,waiver,権利放棄,No waiver shall be implied from conduct.,行為から権利放棄が推定されることはない。,,verified,
30,CONTRACT,severability,分離可能性(可分性),The severability clause preserves the remaining terms.,可分性条項は残りの条項を存続させる。,,verified,
31,CONTRACT,entire agreement,完全合意,This document constitutes the entire agreement.,本書面が完全な合意を構成する。,,verified,
32,CONTRACT,governing law,準拠法,The governing law is the law of New York.,準拠法はニューヨーク州法である。,,verified,
33,CONTRACT,jurisdiction,裁判管轄,The courts of Tokyo have jurisdiction.,東京の裁判所が裁判管轄を有する。,,verified,
