id,subject,term,meaning_ja,example_en,example_ja,source,status,used_at
1,FAR,accounts receivable,売掛金,The company collected its accounts receivable in June.,当社は6月に売掛金を回収した。,,verified,
2,FAR,accounts payable,買掛金,Accounts payable increased due to larger purchases.,仕入の増加により買掛金が増加した。,,verified,
3,FAR,accrued expenses,未払費用,Accrued expenses are recorded at year-end.,未払費用は期末に計上される。,,verified,
4,FAR,deferred revenue,前受収益,Deferred revenue is recognized as services are performed.,前受収益はサービスの提供に応じて収益認識される。,,verified,
5,FAR,depreciation,減価償却,Depreciation expense is recorded each year.,減価償却費は毎年計上される。,,verified,
6,FAR,amortization,(無形資産の)償却,The patent is subject to amortization over ten years.,その特許権は10年で償却される。,,verified,
7,FAR,impairment,減損,The asset was tested for impairment.,その資産は減損テストの対象となった。,,verified,
8,FAR,inventory,棚卸資産,Inventory is measured at cost.,棚卸資産は原価で測定される。,,verified,
9,FAR,goodwill,のれん,Goodwill arises from a business combination.,のれんは企業結合から生じる。,,verified,
10,FAR,retained earnings,利益剰余金,Dividends reduce retained earnings.,配当は利益剰余金を減少させる。,,verified,
11,FAR,accrual basis,発生主義,Revenues are recognized under the accrual basis.,収益は発生主義に基づいて認識される。,,verified,
12,FAR,cash basis,現金主義,Small firms sometimes use the cash basis.,小規模企業は現金主義を用いることがある。,,verified,
13,FAR,fair value,公正価値,The securities are measured at fair value.,その有価証券は公正価値で測定される。,,verified,
14,FAR,carrying amount,帳簿価額,The carrying amount exceeded the fair value.,帳簿価額が公正価値を上回った。,,verified,
15,FAR,historical cost,取得原価,Land is reported at historical cost.,土地は取得原価で報告される。,,verified,
16,FAR,balance sheet,貸借対照表,The balance sheet shows assets and liabilities.,貸借対照表は資産と負債を示す。,,verified,
17,FAR,income statement,損益計算書,The income statement reports revenues and expenses.,損益計算書は収益と費用を報告する。,,verified,
18,FAR,statement of cash flows,キャッシュ・フロー計算書,The statement of cash flows has three sections.,キャッシュ・フロー計算書は3つの区分からなる。,,verified,
19,FAR,statement of stockholders' equity,株主資本等変動計算書,The statement of stockholders' equity shows changes in equity.,株主資本等変動計算書は資本の変動を示す。,,verified,
