#separator:comma
#html:false
#deck:USCPA英単語
#notetype:Basic
#tags column:3
accounts receivable,売掛金,uscpa FAR
accounts payable,買掛金,uscpa FAR
accrued expenses,未払費用,uscpa FAR
deferred revenue,前受収益,uscpa FAR
depreciation,減価償却,uscpa FAR
amortization,(無形資産の)償却,uscpa FAR
impairment,減損,uscpa FAR
inventory,棚卸資産,uscpa FAR
goodwill,のれん,uscpa FAR
retained earnings,利益剰余金,uscpa FAR
accrual basis,発生主義,uscpa FAR
cash basis,現金主義,uscpa FAR
fair value,公正価値,uscpa FAR
carrying amount,帳簿価額,uscpa FAR
historical cost,取得原価,uscpa FAR
balance sheet,貸借対照表,uscpa FAR
income statement,損益計算書,uscpa FAR
statement of cash flows,キャッシュ・フロー計算書,uscpa FAR
statement of stockholders' equity,株主資本等変動計算書,uscpa FAR
current assets,流動資産,uscpa FAR
noncurrent assets,固定資産(非流動資産),uscpa FAR
current liabilities,流動負債,uscpa FAR
noncurrent liabilities,固定負債(非流動負債),uscpa FAR
cash and cash equivalents,現金及び現金同等物,uscpa FAR
marketable securities,市場性有価証券,uscpa FAR
allowance for doubtful accounts,貸倒引当金,uscpa FAR
bad debt expense,貸倒費用(貸倒損失),uscpa FAR
notes receivable,受取手形,uscpa FAR
notes payable,支払手形,uscpa FAR
prepaid expenses,前払費用,uscpa FAR
accrued revenue,未収収益,uscpa FAR
property plant and equipment,有形固定資産,uscpa FAR
accumulated depreciation,減価償却累計額,uscpa FAR
salvage value,残存価額,uscpa FAR
useful life,耐用年数,uscpa FAR
straight-line method,定額法,uscpa FAR
declining balance method,定率法,uscpa FAR
units-of-production method,生産高比例法,uscpa FAR
intangible assets,無形資産,uscpa FAR
patent,特許権,uscpa FAR
trademark,商標権,uscpa FAR
copyright,著作権,uscpa FAR
research and development costs,研究開発費,uscpa FAR
capitalize,資産計上する,uscpa FAR
revenue recognition,収益認識,uscpa FAR
performance obligation,履行義務,uscpa FAR
transaction price,取引価格,uscpa FAR
matching principle,費用収益対応の原則,uscpa FAR
conservatism,保守主義,uscpa FAR
consistency,継続性,uscpa FAR
comparability,比較可能性,uscpa FAR
relevance,目的適合性,uscpa FAR
faithful representation,忠実な表現,uscpa FAR
first-in first-out (FIFO),先入先出法,uscpa FAR
last-in first-out (LIFO),後入先出法,uscpa FAR
weighted-average method,加重平均法,uscpa FAR
lower of cost or market,低価法,uscpa FAR
net realizable value,正味実現可能価額,uscpa FAR
cost of goods sold,売上原価,uscpa FAR
gross profit,売上総利益,uscpa FAR
operating income,営業利益,uscpa FAR
net income,当期純利益,uscpa FAR
earnings per share,1株当たり利益,uscpa FAR
diluted earnings per share,希薄化後1株当たり利益,uscpa FAR
common stock,普通株式,uscpa FAR
preferred stock,優先株式,uscpa FAR
treasury stock,自己株式,uscpa FAR
additional paid-in capital,払込剰余金(資本剰余金),uscpa FAR
dividends,配当金,uscpa FAR
stock split,株式分割,uscpa FAR
stock dividend,株式配当,uscpa FAR
comprehensive income,包括利益,uscpa FAR
accumulated other comprehensive income,その他の包括利益累計額,uscpa FAR
bonds payable,社債,uscpa FAR
bond premium,社債の打歩発行差額(プレミアム),uscpa FAR
bond discount,社債の割引発行差額(ディスカウント),uscpa FAR
effective interest method,実効金利法,uscpa FAR
face value,額面金額,uscpa FAR
stated interest rate,表面利率,uscpa FAR
maturity date,満期日,uscpa FAR
finance lease,ファイナンス・リース,uscpa FAR
operating lease,オペレーティング・リース,uscpa FAR
right-of-use asset,使用権資産,uscpa FAR
lease liability,リース負債,uscpa FAR
deferred tax asset,繰延税金資産,uscpa FAR
deferred tax liability,繰延税金負債,uscpa FAR
temporary difference,一時差異,uscpa FAR
permanent difference,永久差異,uscpa FAR
defined benefit plan,確定給付制度,uscpa FAR
defined contribution plan,確定拠出制度,uscpa FAR
contingent liability,偶発債務,uscpa FAR
warranty liability,製品保証引当金,uscpa FAR
subsequent events,後発事象,uscpa FAR
related party transactions,関連当事者取引,uscpa FAR
segment reporting,セグメント報告,uscpa FAR
interim financial reporting,期中財務報告,uscpa FAR
foreign currency translation,外貨換算,uscpa FAR
exchange rate,為替レート,uscpa FAR
